Img	MeasDate	MeasTime	Experiment	Tube	Location	Date	Time	Session	DataGatherer	ImgType	PxSizeH	PxSizeV	Fungae	Undefined	Undefined	Undefined	TotLength.mm	TotProjArea.mm2	TotSurfArea.mm2	TotAvgDiam.10ths.mm	TotVolume.mm3	TotNumberOfTips	AliveLength.mm	AliveProjArea.mm2	AliveSurfArea.mm2	AliveAvgDiam.10ths.mm	AliveVolume.mm3	AliveNumberOfTips	DeadLength.mm	DeadProjArea.mm2	DeadSurfArea.mm2	DeadAvgDiam.10ths.mm	DeadVolume.mm3	DeadNumberOfTips	GoneLength.mm	GoneProjArea.mm2	GoneSurfArea.mm2	GoneAvgDiam.10ths.mm	GoneVolume.mm3	GoneNumberOfTips	NumberOfClasses	L0to0.5	L0.5to1	L1to1.5	L1.5to2	L2to2.5	L2.5to3	L3to3.5	L3.5to4	L4to4.5	Lgreaterthan4.5	SA0to0.5	SA0.5to1	SA1to1.5	SA1.5to2	SA2to2.5	SA2.5to3	SA3to3.5	SA3.5to4	SA4to4.5	SAgreaterthan4.5	PA0to0.5	PA0.5to1	PA1to1.5	PA1.5to2	PA2to2.5	PA2.5to3	PA3to3.5	PA3.5to4	PA4to4.5	PAgreaterthan4.5	V0to0.5	V0.5to1	V1to1.5	V1.5to2	V2to2.5	V2.5to3	V3to3.5	V3.5to4	V4to4.5	Vgreaterthan4.5	T0to0.5	T0.5to1	T1to1.5	T1.5to2	T2to2.5	T2.5to3	T3to3.5	T3.5to4	T4to4.5	Tgreaterthan4.5		ImageNotes	
EF2010_T036_L001_2010.05.27_133040_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	1	2010.05.27	133040	001	AP	Clr	0.024161	0.025424	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
EF2010_T036_L005_2010.05.27_133149_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	5	2010.05.27	133149	001	AP	Clr	0.024161	0.025424	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
EF2010_T036_L010_2010.05.27_133333_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	10	2010.05.27	133333	001	AP	Clr	0.024161	0.025424	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
EF2010_T036_L015_2010.05.27_133336_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	15	2010.05.27	133336	001	AP	Clr	0.024161	0.025424	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
EF2010_T036_L020_2010.05.27_133339_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	20	2010.05.27	133339	001	AP	Clr	0.024161	0.025424	-	-	-	-	12.2997	2.3034	7.2363	1.8727	0.461	4	12.2997	2.3034	7.2363	1.8727	0.461	4	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	3.4110	0.0000	0.0000	0.6411	6.5076	0.2375	0.2375	1.2652	0.0000	0.0000	0.2657	0.0000	0.0000	0.3995	4.5632	0.2051	0.2424	1.5604	0.0000	0.0000	0.0846	0.0000	0.0000	0.1272	1.4525	0.0653	0.0772	0.4967	0.0000	0.0000	0.0016	0.0000	0.0000	0.0198	0.2546	0.0141	0.0197	0.1532	0.0000	0.0000	1	0	0	1	2	0	0	0	0	0			
EF2010_T036_L025_2010.05.27_133342_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	25	2010.05.27	133342	001	AP	Clr	0.024161	0.025424	-	-	-	-	3.7723	0.0935	0.2938	0.2479	0.002	1	3.7723	0.0935	0.2938	0.2479	0.002	1	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	3.7723	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2938	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0935	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	0	0	0	0	0	0	0	0	0			
EF2010_T036_L030_2010.05.27_133346_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	30	2010.05.27	133346	001	AP	Clr	0.024161	0.025424	-	-	-	-	68.8353	5.2004	16.3375	0.7555	0.645	14	68.8353	5.2004	16.3375	0.7555	0.645	14	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	48.2490	1.1568	1.1568	11.2848	6.9878	0.0000	0.0000	0.0000	0.0000	0.0000	3.7811	0.2726	0.4543	6.9467	4.8828	0.0000	0.0000	0.0000	0.0000	0.0000	1.2036	0.0868	0.1446	2.2112	1.5542	0.0000	0.0000	0.0000	0.0000	0.0000	0.0237	0.0051	0.0142	0.3407	0.2716	0.0000	0.0000	0.0000	0.0000	0.0000	13	0	0	0	1	0	0	0	0	0			
EF2010_T036_L035_2010.05.27_133349_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	35	2010.05.27	133349	001	AP	Clr	0.024161	0.025424	-	-	-	-	4.2111	0.1044	0.3280	0.2479	0.002	2	4.2111	0.1044	0.3280	0.2479	0.002	2	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	4.2111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3280	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	0	0	0	0	0	0	0	0	0			
EF2010_T036_L040_2010.05.27_133353_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	40	2010.05.27	133353	001	AP	Clr	0.024161	0.025424	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
EF2010_T036_L045_2010.05.27_133356_001_AP.jpg	6/1/2010	11:20:59	EF2010	36	45	2010.05.27	133356	001	AP	Clr	0.024161	0.025424	-	-	-	-	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	0.0000	0.0000	0.0000	0.0000	0.000	0	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0			
